CONTROL_NUMBER,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,RESPONSE_RATE,RECENT_RESPONSE_PROP,FILE_CARD_GIFT,IN_HOUSE,URBANICITY,SES,INCOME_GROUP,PEP_STAR,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,DONOR_AGE_GROUP,RESPONSE_PROB
106384,11,8,0.9166666666666666,0.55,25,0,R,1,7.0,1,S,4,Middle-aged,0.98
39020,1,1,0.1,0.063,2,0,S,1,5.0,0,A,1,Middle-aged,0.97
32527,9,6,0.6923076923076923,0.5,6,0,S,2,5.0,1,S,4,Middle-aged,0.93
104505,3,2,0.2727272727272727,0.176,2,0,R,2,5.0,0,A,2,Middle-aged,0.92
107727,12,5,1.0909090909090908,0.545,19,0,T,2,7.0,1,S,4,Middle-aged,0.92
28339,6,4,0.46153846153846156,0.3,6,0,C,1,5.0,1,S,3,Middle-aged,0.8975
118166,2,2,0.15384615384615385,0.182,2,0,R,2,5.0,0,N,3,Middle-aged,0.89
107569,1,0,0.16666666666666666,0.111,6,0,R,2,5.0,1,A,1,Middle-aged,0.89
122198,5,4,0.35714285714285715,0.385,4,0,C,1,7.0,1,A,4,Middle-aged,0.89
7852,3,2,0.08823529411764706,0.176,9,1,T,2,1.0,1,S,3,Middle-aged,0.88
139224,11,8,0.8461538461538461,0.579,24,0,R,3,5.0,1,S,4,Middle-aged,0.88
109196,7,4,0.5833333333333334,0.35,16,0,T,2,5.0,1,S,3,Middle-aged,0.88
36395,6,4,0.375,0.3,11,0,C,2,7.0,1,S,4,Elderly,0.87
109240,7,4,0.5833333333333334,0.35,17,0,T,3,6.0,1,S,3,Middle-aged,0.87
108905,6,2,0.46153846153846156,0.273,8,0,C,1,5.0,1,A,3,Middle-aged,0.87
1799,8,6,0.32,0.381,12,0,C,2,5.0,1,A,4,Middle-aged,0.86
5331,9,7,0.3,0.45,11,1,C,1,7.0,1,S,4,Middle-aged,0.86
48487,1,0,0.08333333333333333,0.048,5,0,R,3,3.0,1,A,1,Middle-aged,0.86
103290,3,2,0.23076923076923078,0.167,9,0,C,1,5.0,1,S,2,Elderly,0.86
58086,9,5,0.75,0.429,13,0,R,3,3.0,1,S,4,Middle-aged,0.86
